wordform_id,wordform,lemma_id,pos,cefr,english_gloss,tense,person,number,gender
wf_91a3a6a028,dirai,lem_ce032b4f2b,verb_form,A1,to say / to tell,future,tu,,
wf_3155e4fc65,dirà,lem_ce032b4f2b,verb_form,A1,to say / to tell,future,lui/lei,,
wf_3cb4d4b66a,diremo,lem_ce032b4f2b,verb_form,A1,to say / to tell,future,noi,,
wf_afec7ce9a9,direte,lem_ce032b4f2b,verb_form,A1,to say / to tell,future,voi,,
wf_9a360c8e5d,diranno,lem_ce032b4f2b,verb_form,A1,to say / to tell,future,loro,,
wf_3ccb4f0702,direi,lem_ce032b4f2b,verb_form,A1,to say / to tell,conditional,io,,
wf_1c88b36763,diresti,lem_ce032b4f2b,verb_form,A1,to say / to tell,conditional,tu,,
wf_21a3cab45a,direbbe,lem_ce032b4f2b,verb_form,A1,to say / to tell,conditional,lui/lei,,
wf_2a4ff26010,diremmo,lem_ce032b4f2b,verb_form,A1,to say / to tell,conditional,noi,,
wf_db27eeb6d1,direste,lem_ce032b4f2b,verb_form,A1,to say / to tell,conditional,voi,,
wf_e6d4aef83e,direbbero,lem_ce032b4f2b,verb_form,A1,to say / to tell,conditional,loro,,
wf_2ab8820efb,andare,lem_1f0733b123,verb_form,A1,to go,infinitive,nan,,
wf_fba9bea2d1,vado,lem_1f0733b123,verb_form,A1,to go,present,io,,
wf_18521fc261,vai,lem_1f0733b123,verb_form,A1,to go,present,tu,,
wf_d4273dbe52,va,lem_1f0733b123,verb_form,A1,to go,present,lui/lei,,
wf_2793f24663,andiamo,lem_1f0733b123,verb_form,A1,to go,present,noi,,
wf_c5a11262cf,andate,lem_1f0733b123,verb_form,A1,to go,present,voi,,
wf_5c333e28f9,vanno,lem_1f0733b123,verb_form,A1,to go,present,loro,,
wf_41b7cde553,andavo,lem_1f0733b123,verb_form,A1,to go,imperfect,io,,
wf_25b1d9b2e5,andavi,lem_1f0733b123,verb_form,A1,to go,imperfect,tu,,
wf_c30891beee,andava,lem_1f0733b123,verb_form,A1,to go,imperfect,lui/lei,,
wf_6b67031668,andavamo,lem_1f0733b123,verb_form,A1,to go,imperfect,noi,,
wf_e25bcf756e,andavate,lem_1f0733b123,verb_form,A1,to go,imperfect,voi,,
wf_86395a77d3,andavano,lem_1f0733b123,verb_form,A1,to go,imperfect,loro,,
wf_7b637c4c28,andato,lem_1f0733b123,verb_form,A1,to go,past_participle,nan,,
wf_0faef8270b,andando,lem_1f0733b123,verb_form,A1,to go,gerund,nan,,
wf_924bce24cc,andrò,lem_1f0733b123,verb_form,A1,to go,future,io,,
wf_78bf902aad,andrai,lem_1f0733b123,verb_form,A1,to go,future,tu,,
wf_faa88af4be,andrà,lem_1f0733b123,verb_form,A1,to go,future,lui/lei,,
wf_f7e5fa98ec,andremo,lem_1f0733b123,verb_form,A1,to go,future,noi,,
wf_722e181d8f,andrete,lem_1f0733b123,verb_form,A1,to go,future,voi,,
wf_dd160e2702,andranno,lem_1f0733b123,verb_form,A1,to go,future,loro,,
wf_cd1e613202,andrei,lem_1f0733b123,verb_form,A1,to go,conditional,io,,
wf_bc93703edc,andresti,lem_1f0733b123,verb_form,A1,to go,conditional,tu,,
wf_2bca836a64,andrebbe,lem_1f0733b123,verb_form,A1,to go,conditional,lui/lei,,
wf_e96a0760ca,andremmo,lem_1f0733b123,verb_form,A1,to go,conditional,noi,,
wf_724e5f600f,andreste,lem_1f0733b123,verb_form,A1,to go,conditional,voi,,
wf_cc35e26266,andrebbero,lem_1f0733b123,verb_form,A1,to go,conditional,loro,,
wf_00ec0c614f,venire,lem_ce5538f500,verb_form,A1,to come,infinitive,nan,,
wf_35846a7bb8,vengo,lem_ce5538f500,verb_form,A1,to come,present,io,,
